MasterID,Site_Name,Site_Type,Site_Address1,Site_Address2,Site_City,Site_State,Site_Zip,Site_Phone,Ext,Contact_First_Name,Contact_Last_Name,Contact_Phone,Sponsoring_Organization,Start_Date,End_Date,Days_of_operation,Comments,Breakfast_Time,Lunch_Time,Snack_Time_AM,Snack_Time_PM,Supper_Time,Site_Location,Site_Program,State_Site_ID_Number,State_Sponsor_ID_Number,sooX,sooY,SOO,Cycle,Country,RecordStatus,FNSID,Created,Season,County,LocationType,Confidence,Mapped_Status,MapX,MapY,Service_Model
406187,Morrill Meadows Park,Open,10600 SE 248th Street,,Kent,WA,98030,2533737594,,Ruth,Nowak,2533737594,Kent School District,6/24/2024,8/9/2024,"M, T, W, TH, F",Please confirm mealtimes with site.,,12:00PM - 12:30PM,,,,,SFSP,663733,159941,,,WA,19,USA,U,45604,9/4/2024 0:00,2024,King County,A,100,M,-122.1991807,47.37978368,Eat On-Site
406183,Meeker Middle School,Open,12600 S.E. 192nd,,Renton,WA,98052,2533737594,,Ruth,Nowak,2533737594,Kent School District,6/24/2024,7/26/2024,"M, T, W, TH, F",Please confirm mealtimes with site.,9:00AM - 9:30AM,12:30PM - 1:00PM,,,,,SFSP,663987,159941,,,WA,19,USA,U,93586,9/4/2024 0:00,2024,King County,A,95.74,M,-122.1716637,47.43037573,Eat On-Site
406186,Mill Creek Middle School,Open,620 North Central Avenue,,Kent,WA,98032,2533737594,,Ruth,Nowak,2533737594,Kent School District,6/24/2024,7/19/2024,"M, T, W, TH, F",Please confirm mealtimes with site.,9:30AM - 9:50AM,11:30AM - 12:00PM,,,,,SFSP,663989,159941,,,WA,19,USA,U,93606,9/4/2024 0:00,2024,King County,A,99.89,M,-122.231011,47.38603694,Eat On-Site
406189,Parkwood Apartments,Open,26435 - 104th Ave SE,,Kent,WA,98030,2533737594,,Ruth,Nowak,2533737594,Kent School District,6/24/2024,8/9/2024,"M, T, W, TH, F",Please confirm mealtimes with site.,,11:00AM - 11:25AM,,,,,SFSP,664399,159941,,,WA,19,USA,U,46266,9/4/2024 0:00,2024,King County,A,100,M,-122.202297,47.36416111,Eat On-Site
406188,Neeley-O'brien Elementary,Open,6300 South 236th Street,,Kent,WA,98032,2533737594,,Ruth,Nowak,2533737594,Kent School District,7/15/2024,7/31/2024,"M, T, W, TH",Please confirm mealtimes with site.,8:45AM - 9:00AM,12:00PM - 12:30PM,,,,,SFSP,661665,159941,,,WA,19,USA,U,59303,9/4/2024 0:00,2024,King County,A,100,M,-122.2589734,47.39024826,Eat On-Site
406185,Meridian Middle School,Open,23480 120th Ave. S.E.,,Kent,WA,98031,2533737594,,Ruth,Nowak,2533737594,Kent School District,6/25/2024,7/25/2024,"T, W, TH",Please confirm mealtimes with site.,7:45AM - 8:15AM,10:50AM - 11:10AM,,,,,SFSP,663988,159941,,,WA,19,USA,U,148825,9/4/2024 0:00,2024,King County,A,100,M,-122.1813681,47.39046826,Eat On-Site
406190,Polaris Apartments,Open,17110 SE 276th Street,,Covington,WA,98042,2533737594,,Ruth,Nowak,2533737594,Kent School District,6/24/2024,8/9/2024,"M, T, W, TH, F",Please confirm mealtimes with site.,,12:50PM - 1:20PM,,,,,SFSP,684730,159941,,,WA,19,USA,U,93823,9/4/2024 0:00,2024,King County,A,100,M,-122.1136807,47.35461633,Eat On-Site
406191,River Ridge Elementary,Open,22420 S. Military Road,,Seatac,WA,98198,2533737594,,Ruth,Nowak,2533737594,Kent School District,6/24/2024,7/25/2024,"M, T, W, TH",Please confirm mealtimes with site.,,11:30AM - 12:00PM,,,,,SFSP,686829,159941,,,WA,19,USA,U,348056,9/4/2024 0:00,2024,King County,A,99.88,M,-122.2901216,47.40048394,Eat On-Site
406192,River Ridge Elementary,Open,22420 S. Military Road,,Seatac,WA,98198,2533737594,,Ruth,Nowak,2533737594,Kent School District,6/24/2024,7/25/2024,"M, T, W, TH",Please confirm mealtimes with site.,8:45AM - 9:30AM,,,,,,SFSP,686829,159941,,,WA,19,USA,U,348056,9/4/2024 0:00,2024,King County,A,99.88,M,-122.2901216,47.40048394,Eat On-Site
406193,Signature Point,Open,25102 62nd Ave. S.,,Kent,WA,98032,2533737594,,Ruth,Nowak,2533737594,Kent School District,6/24/2024,8/9/2024,"M, T, W, TH, F",Please confirm mealtimes with site.,,11:15AM - 11:45PM,,,,,SFSP,687396,159941,,,WA,19,USA,U,348077,9/4/2024 0:00,2024,King County,A,100,M,-122.2556777,47.37557842,Eat On-Site
